    17    3357.700    6943.500   187.08272   44.11327   66.666   66.666   66.666   66.666   24.322    0.049   23.698   0.049   22.289    0.042   1.61   2.000e+08   7.000e+08   1.000e+07   3.156e+03   5.995e+03   8.395e+02    0.46   0.85   0.27      200.0      200.0    0.00653   -0.00497   -0.00107     0.02863   0.86563     3   2   2   4   0   2  
    18    3542.400    6806.700   187.07990   44.11177   66.666   66.666   66.666   66.666   23.865    0.044   22.993   0.039   21.585    0.036   1.64   6.000e+06   1.000e+10   6.000e+06   3.279e+03   4.267e+04   1.801e+03    1.09   1.13    0.1      200.0      200.0   -0.00063   -0.00763    0.00707     0.07707    0.7813     3   1   1   4   0   2  
    19    5998.600    7221.300   187.04224   44.11634   66.666   66.666   66.666   66.666   21.745    0.036   21.536   0.034   20.947    0.036   1.64   5.000e+07   1.000e+08   7.000e+06   4.136e+03   6.808e+03   1.099e+03    0.15   0.36   0.06      200.0      200.0      7e-05    0.00077   -0.00093     0.00119   0.97253     3   2   1   4   1   2  
    20    4222.200    6990.000   187.06947   44.11379   23.011    0.201   22.687    0.087   22.631    0.040   22.202   0.036   21.477    0.037   2.18   8.000e+08   1.000e+09   7.000e+08   8.417e+03   1.027e+04   7.410e+03     0.0   0.01    0.0    0.09083    0.01582   -0.00297    0.04033   -0.04087     0.90079   0.43983     5   2   1   4   0   2  
    21    4461.500    6820.700   187.06580   44.11193   21.485    0.079   21.778    0.059   23.207    0.037   22.912   0.037   22.630    0.043   1.55   1.500e+07   1.500e+07   1.000e+07   5.611e+02   5.995e+02   2.023e+02    0.13   0.15    0.0    0.18697    0.23027   -0.15833    0.10517    0.01167     15.2425       0.0     5   1   1   4   0   2  
    22    5600.300    6971.800   187.04834   44.11359   20.889    0.063   21.212    0.056   22.139    0.038   21.991   0.037   21.653    0.043   2.31   1.200e+07   1.400e+07   9.000e+06   9.265e+02   1.468e+03   4.954e+02    0.13   0.19   0.06    0.01495    0.00875   -0.03585    0.03435   -0.00785     0.62279   0.60017     5   2   2   4   0   2  
    23    5790.400    6845.000   187.04543   44.11220   20.147    0.056   20.499    0.052   22.007    0.035   21.741   0.035   21.872    0.037   1.55   5.000e+06   5.000e+06   3.000e+06   5.539e+02   5.931e+02   3.652e+02    0.12   0.14   0.08    0.13035    0.16205   -0.16595    0.06955    0.05345    15.04184       0.0     5   1   1   4   2   2  
    24    6073.700    6920.600   187.04109   44.11303   25.526    3.423   23.468    0.210   23.957    0.065   23.047   0.052   21.831    0.043   1.90   5.000e+06   5.000e+06   5.000e+06   2.830e+03   3.130e+03   2.547e+03    1.04   1.08    1.0      200.0    0.11298   -0.01422   -0.00172    0.00348     0.15859   0.85335     4   2   2   4   0   2  
    25    7356.600    6798.400   187.02142   44.11168   66.666   66.666   66.666   66.666   23.582    0.037   23.548   0.038   23.342    0.045   1.99   7.000e+06   1.500e+07   6.000e+06   9.814e+01   2.672e+02   8.688e+01    0.11   0.26   0.01      200.0      200.0   -0.00059    0.00651   -0.00809     0.06198    0.8034     3   2   2   4   0   2  
    26    3384.500    6763.800   187.08231   44.11130   66.666   66.666   66.666   66.666   23.566    0.040   23.135   0.040   22.316    0.045   1.84   8.000e+06   1.000e+09   6.000e+06   5.127e+02   5.149e+03   4.207e+02    0.49   0.69    0.0      200.0      200.0     0.0022    -0.0018    -0.0005     0.00517   0.94267     3   2   2   4   0   2  
    27    5100.900    6623.300   187.05600   44.10975   22.379    0.134   22.374    0.072   22.399    0.038   22.134   0.041   21.380    0.052   1.89   4.000e+08   5.000e+08   4.000e+08   5.522e+03   6.625e+03   5.522e+03     0.0   0.01    0.0    0.08697   -0.03773    0.04897    0.01697   -0.09103     1.92127   0.12368     5   2   2   4   0   2  
    28    3892.700    6656.200   187.07452   44.11011   21.532    0.106   21.616    0.066   22.355    0.061   22.023   0.057   21.194    0.043   2.27   1.000e+07   2.000e+07   9.000e+06   1.332e+03   3.680e+03   1.101e+03    0.32   0.45    0.3    0.00121    0.00421   -0.00419    0.00301   -0.00159     0.00436    0.9996     5   2   1   4   4   2  
    29    4159.400    6688.700   187.07043   44.11047   22.387    0.137   22.705    0.113   22.616    0.048   22.334   0.049   21.744    0.050   1.56   9.000e+07   1.000e+08   8.000e+07   3.561e+03   3.912e+03   3.192e+03    0.24   0.29   0.19    0.05473   -0.31817    0.07963    0.05953   -0.04177     5.17873   0.00141     5   1   1   4   0   2  
    30    4088.500    6549.400   187.07150   44.10894   23.888    0.370   23.891    0.228   23.481    0.056   23.076   0.054   22.005    0.060   2.13   6.000e+08   9.000e+08   4.000e+08   4.481e+03   7.222e+03   3.461e+03    0.12    0.2   0.07    0.21584   -0.21716    0.04424   -0.03076    0.00804     0.78079   0.50445     5   4   0   0   0   2  
    31    4512.600    6673.800   187.06500   44.11031   20.572    0.058   20.810    0.052   22.191    0.035   21.878   0.035   21.849    0.055   1.56   5.000e+06   5.000e+06   5.000e+06   6.482e+02   6.973e+02   6.017e+02    0.21   0.23   0.19    0.11068    0.14038   -0.13822    0.05818    0.07288    10.56707       0.0     5   2   2   1   2   2  
    32    6498.200    6738.800   187.03458   44.11103   66.666   66.666   66.666   66.666   22.729    0.037   22.555   0.036   22.315    0.037   1.62   6.000e+06   8.000e+06   5.000e+06   4.519e+02   5.930e+02   2.759e+02     0.3   0.36   0.12      200.0      200.0   -0.01956    0.03364   -0.01356     1.26709   0.26031     3   2   1   4   0   2  
    33    7117.900    6590.400   187.02509   44.10939   66.666   66.666   66.666   66.666   23.360    0.040   23.021   0.042   22.491    0.050   1.91   6.000e+06   8.000e+07   5.000e+06   5.421e+02   1.689e+03   3.108e+02     0.5   0.54    0.2      200.0      200.0   -0.00518    0.01902   -0.01768     0.34543   0.55671     3   1   1   4   0   2  
    34    4875.800    6473.400   187.05945   44.10810   23.659    0.349   22.948    0.133   23.086    0.046   22.546   0.045   21.582    0.044   1.91   8.000e+07   7.000e+08   7.000e+06   6.016e+03   7.717e+03   1.197e+03    0.49   0.68    0.1   -0.34389    0.02841    0.00831    0.01901   -0.01889     0.59453   0.61851     5   1   1   4   0   2  
    35    4770.600    6408.500   187.06107   44.10739   22.234    0.104   21.947    0.064   22.507    0.036   22.140   0.035   21.487    0.039   1.90   6.000e+06   6.000e+06   6.000e+06   1.532e+03   1.631e+03   1.437e+03    0.57   0.59   0.55    -0.0377     0.0125     0.0139    -0.0014     -0.013     0.14499   0.93293     5   2   1   4   0   2  
    36    4386.200    6447.500   187.06696   44.10782   21.244    0.064   21.350    0.058   22.939    0.037   22.356   0.042   22.309    0.068   1.62   3.000e+06   3.000e+06   3.000e+06   2.801e+02   3.138e+02   2.494e+02    0.21   0.24   0.18    0.07676    0.22886   -0.10383   -0.03234    0.26886    11.84874       0.0     5   1   1   1   0   2  
    37    4459.500    6451.400   187.06583   44.10786   23.366    0.232   22.672    0.082   23.883    0.056   23.160   0.046   22.681    0.049   1.82   3.000e+06   3.000e+06   3.000e+06   4.329e+02   4.878e+02   3.944e+02    0.57   0.61   0.54   -0.23604    0.27125    0.01586   -0.09695    0.06785     5.53306   0.00085     5   2   2   1   0   2  
    38    4102.600    6495.300   187.07130   44.10834   22.573    0.133   22.756    0.087   22.869    0.040   22.461   0.037   21.428    0.037   1.94   3.000e+08   3.000e+08   5.000e+07   3.717e+03   4.668e+03   3.501e+03    0.05   0.43   0.03      0.213     -0.083    -0.0265     0.0461    -0.0149     1.73316   0.15776     5   2   1   4   0   2  
    39    3435.700    6205.600   187.08151   44.10515   23.853    0.377   24.297    0.251   23.821    0.040   23.382   0.043   22.531    0.046   1.64   8.000e+08   1.000e+09   6.000e+08   3.374e+03   4.362e+03   2.355e+03    0.05   0.08   0.01    0.55692   -0.34728    0.00783    0.01402   -0.01078     1.39734   0.24146     5   1   1   4   0   2  
