source id,x,y,RA coordinates in the ref frame,DEC coordinates in the ref frame,final total mag in WFC3/F275W,final photometric error in WFC3/F275W,final total mag in WFC3/F336W,final photometric error in WFC3/F336W,final total mag in WFC3/F438W,final photometric error in WFC3/F438W,final total mag in WFC3/F555W,final photometric error in WFC3/F555W,final total mag in WFC3/F814W,final photometric error in WFC3/F814W,CI=mag(1px)-mag(3px) measured in the F555W. This catalogue contains only sources with CI>=1.35.,best age in yr,max age in yr (within 68 %% confidence level),min age in yr (within 68 %% confidence level),best mass in solar masses,max mass in solar masses (within 68 %% confidence level),min mass in solar masses (within 68 %% confidence level),best E(B-V),max E(B-V) (within 68 %% confidence level),min E(B-V) (within 68 %% confidence level),chi2 fit residual in F275W,chi2 fit residual in F336W,chi2 fit residual in F438W,chi2 fit residual in F555W,chi2 fit residual in F814W,reduced chi2,Q probability,Number of filter,class(mode),Final class(mean),a,b
1,3602.920,4872.369,186.58371,48.49029,24.803,0.617,23.686,0.250,23.765,0.194,23.297,0.193,22.969,0.158,1.66,9.000e+08,1.000e+09,4.000e+08,5.125e+03,6.084e+03,2.457e+03,0.0,0.05,0.0,-0.27415,0.38285,0.23425,0.10175,-0.18315,1.64928,0.17566,5,1.0,1.333,1
2,4687.445,5470.283,186.56570,48.49687,23.854,0.236,23.573,0.200,23.958,0.195,23.341,0.196,22.426,0.158,1.79,3.000e+08,4.000e+08,6.000e+06,2.702e+03,4.952e+03,6.801e+02,0.05,0.76,0.0,-0.04177,0.12623,-0.06267,-0.02177,0.01333,0.17221,0.91522,5,2.0,2.333,1
3,3964.129,6841.441,186.57771,48.51196,24.654,0.494,25.442,1.060,24.787,0.314,22.390,0.192,20.675,0.155,1.68,1.000e+07,1.400e+10,7.000e+06,2.664e+04,1.058e+06,1.591e+04,1.46,1.5,0.67,1.40277,200.0,-0.19523,0.09717,-0.01403,1.62371,0.19717,4,0.0,0.0,0
4,4211.153,6562.645,186.57361,48.50889,24.345,0.291,23.775,0.259,23.992,0.187,21.731,0.191,20.293,0.155,1.79,1.000e+07,3.000e+07,3.000e+06,2.737e+04,9.736e+04,1.788e+04,1.27,1.5,1.14,0.52102,0.08022,-0.21818,0.19852,0.00512,1.56144,0.19643,5,4.0,4.0,0
5,3721.390,6517.000,186.58176,48.50839,23.174,0.119,23.245,0.124,23.820,0.173,21.779,0.191,20.427,0.155,1.63,1.000e+07,1.100e+07,1.000e+07,8.975e+03,1.329e+04,5.381e+03,0.89,0.99,0.77,0.55316,-0.11044,-0.41834,0.29026,0.40646,9.80275,0.0,5,4.0,4.0,0
6,2779.000,6397.998,186.59740,48.50708,23.580,0.236,24.434,0.449,24.863,0.276,23.993,0.199,22.967,0.158,1.36,1.000e+07,4.000e+07,9.000e+06,5.652e+02,1.947e+03,3.587e+02,0.48,0.69,0.26,0.57825,-0.38615,-0.17385,-0.09845,0.12845,1.99924,0.11172,5,0.0,0.0,0
7,3770.000,6352.783,186.58093,48.50658,23.042,0.110,22.959,0.123,23.955,0.181,22.986,0.194,22.154,0.159,1.79,1.000e+07,2.000e+07,9.000e+06,1.094e+03,3.376e+03,7.918e+02,0.42,0.57,0.36,0.01983,0.06583,-0.23437,0.01743,0.11523,0.95695,0.41197,5,0.0,0.0,0
8,3752.581,6341.973,186.58122,48.50646,22.498,0.108,22.098,0.085,23.373,0.175,22.382,0.193,21.621,0.156,1.79,1.500e+07,1.500e+07,5.000e+06,4.824e+03,5.958e+03,1.934e+03,0.51,0.67,0.45,-0.06605,0.19515,-0.32595,-0.00395,0.06425,3.23074,0.02137,5,4.0,4.0,0
9,5149.790,6144.000,186.55801,48.50428,23.625,0.211,23.619,0.184,24.244,0.191,23.654,0.197,22.813,0.159,1.81,2.000e+07,6.000e+07,8.000e+06,1.354e+03,2.186e+03,4.089e+02,0.43,0.61,0.21,0.04813,-0.03037,0.01573,-0.06757,0.03763,0.08794,0.96668,5,0.0,0.0,0
10,4347.443,6088.816,186.57135,48.50368,23.638,0.221,23.416,0.187,24.349,0.273,22.558,0.198,21.608,0.160,1.79,1.000e+07,2.000e+07,3.000e+06,3.333e+03,1.116e+04,2.295e+03,0.75,1.07,0.65,0.29117,0.08147,-0.45643,0.18757,0.04967,2.2264,0.08286,5,0.0,0.0,0
11,3407.000,6008.000,186.58698,48.50279,25.137,0.792,26.196,2.199,24.447,0.228,21.684,0.191,20.361,0.155,1.71,2.000e+06,1.400e+10,1.000e+06,2.749e+04,1.471e+06,2.177e+04,1.5,1.5,0.67,0.172,200.0,-0.1403,-0.1486,0.2875,1.91113,0.14791,4,0.0,0.0,0
12,2403.413,5963.813,186.60364,48.50230,99.999,99.999,23.328,0.178,24.123,0.191,23.461,0.192,23.257,0.159,1.97,5.000e+06,1.000e+08,4.000e+06,6.051e+02,1.485e+03,2.111e+02,0.52,0.62,0.02,200.0,-0.04026,0.06644,0.00194,-0.00926,0.08523,0.9183,4,0.0,0.0,0
