83	3572	3384	4	[0.05 - 0.06 - 0.13 - 0.75]
84	2997	3131	4	[0.01 - 0.02 - 0.02 - 0.95]
85	1601	2521	1	[0.90 - 0.09 - 0.00 - 0.01]
86	5506	2363	4	[0.01 - 0.05 - 0.07 - 0.88]
87	3615	2372	1	[0.89 - 0.03 - 0.00 - 0.08]
88	1388	2357	1	[0.92 - 0.05 - 0.00 - 0.03]
89	2911	2112	1	[0.81 - 0.11 - 0.01 - 0.08]
90	2442	1988	1	[0.86 - 0.04 - 0.00 - 0.10]
91	1239	1936	4	[0.09 - 0.13 - 0.30 - 0.48]
92	2549	1871	2	[0.11 - 0.80 - 0.06 - 0.03]
93	2552	1893	1	[0.39 - 0.33 - 0.07 - 0.22]
94	2551	1888	4	[0.02 - 0.08 - 0.27 - 0.63]
95	1730	1742	4	[0.01 - 0.07 - 0.06 - 0.87]
96	1492	1772	1	[0.51 - 0.42 - 0.02 - 0.05]
97	1723	1736	4	[0.00 - 0.01 - 0.04 - 0.96]
98	3560	1674	4	[0.00 - 0.03 - 0.06 - 0.91]
99	2754	1715	1	[0.87 - 0.05 - 0.00 - 0.08]
100	1463	1671	4	[0.00 - 0.01 - 0.04 - 0.95]
101	3287	1669	1	[0.70 - 0.21 - 0.01 - 0.08]
102	2694	1653	1	[0.83 - 0.10 - 0.00 - 0.07]
103	2813	1596	1	[0.72 - 0.04 - 0.00 - 0.23]
104	3291	1453	1	[0.75 - 0.11 - 0.01 - 0.13]
105	2272	1326	1	[0.84 - 0.11 - 0.00 - 0.04]
106	3648	1135	2	[0.26 - 0.66 - 0.04 - 0.03]
107	2007	1078	4	[0.00 - 0.01 - 0.08 - 0.91]
108	2712	313	4	[0.00 - 0.01 - 0.02 - 0.97]
109	3843	3966	1	[0.53 - 0.45 - 0.01 - 0.01]
110	4201	3819	4	[0.01 - 0.11 - 0.26 - 0.62]
